model,horizon,threshold_scale,recall,precision,n_positive,scenario,fold,seed
GRU_NBeats_lite__fold0__seed42,60 min,1.2,0.9760956175298805,0.7802547770700637,251,GRU_NBeats_lite,0,42
CNN_GRU_Attention__fold0__seed42,15 min,0.8,0.0,0.0,5,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,15 min,0.9,0.5161290322580645,0.21621621621621623,31,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,15 min,1.0,0.8804347826086957,0.47368421052631576,92,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,15 min,1.1,0.9651162790697675,0.6831275720164609,172,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,15 min,1.2,0.9800796812749004,0.7935483870967742,251,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,30 min,0.8,0.0,0.0,5,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,30 min,0.9,0.5666666666666667,0.19540229885057472,30,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,30 min,1.0,0.9120879120879121,0.4742857142857143,91,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,30 min,1.1,0.9709302325581395,0.6900826446280992,172,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,30 min,1.2,0.9721115537848606,0.7922077922077922,251,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,45 min,0.8,0.2,0.047619047619047616,5,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,45 min,0.9,0.5172413793103449,0.2054794520547945,29,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,45 min,1.0,0.9010989010989011,0.5,91,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,45 min,1.1,0.9651162790697675,0.7063829787234043,172,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,45 min,1.2,0.9681274900398407,0.801980198019802,251,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,60 min,0.8,0.2,0.037037037037037035,5,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,60 min,0.9,0.6896551724137931,0.21739130434782608,29,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,60 min,1.0,0.9230769230769231,0.48554913294797686,91,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,60 min,1.1,0.9710982658959537,0.6942148760330579,173,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,60 min,1.2,0.9760956175298805,0.7903225806451613,251,CNN_GRU_Attention,0,42
