model,horizon_step,horizon,MAE,RMSE,MAPE,R2,scenario,fold,seed
GRU_NBeats_lite__fold1__seed42,1,15 min,0.4933061327713337,0.6274931713295726,11.661275220621182,0.5823021746158419,GRU_NBeats_lite,1,42
GRU_NBeats_lite__fold1__seed42,2,30 min,0.43760931003968234,0.561810408903199,10.611515233579548,0.6623407054581213,GRU_NBeats_lite,1,42
GRU_NBeats_lite__fold1__seed42,3,45 min,0.45989323311330726,0.5808090675840822,10.958530844963759,0.6367565932951589,GRU_NBeats_lite,1,42
GRU_NBeats_lite__fold1__seed42,4,60 min,0.46108881465256446,0.5829596295961563,10.925938276246425,0.6313165546011258,GRU_NBeats_lite,1,42
GRU_NBeats_lite__fold1__seed42,overall,overall,0.4629743726442219,0.5887613519805802,11.039314893852728,0.6280645249999444,GRU_NBeats_lite,1,42
CNN_GRU_Attention__fold1__seed42,1,15 min,0.3448567955282204,0.4768753383339207,8.639253300979526,0.7587574373969073,CNN_GRU_Attention,1,42
CNN_GRU_Attention__fold1__seed42,2,30 min,0.36441476041285686,0.5158337986064602,9.377105870527183,0.7153450531393422,CNN_GRU_Attention,1,42
CNN_GRU_Attention__fold1__seed42,3,45 min,0.3685702209859281,0.5200814380962715,9.499058204068742,0.7087448106384261,CNN_GRU_Attention,1,42
CNN_GRU_Attention__fold1__seed42,4,60 min,0.36356475916608416,0.4974093239071744,9.140853620277413,0.7315863981564414,CNN_GRU_Attention,1,42
CNN_GRU_Attention__fold1__seed42,overall,overall,0.3603516340232724,0.5028407635270682,9.164067748963216,0.7286998901420814,CNN_GRU_Attention,1,42
Persistence_Baseline__fold2__seedNA,1,15 min,0.30932170542635656,0.4039233464005787,6.415869837379619,0.7642627354535819,Persistence_Baseline,2,NA
Persistence_Baseline__fold2__seedNA,2,30 min,0.313391472868217,0.40745666055736296,6.483692572782153,0.7606107681810389,Persistence_Baseline,2,NA
Persistence_Baseline__fold2__seedNA,3,45 min,0.33225775193798446,0.44101571892743835,6.984742637380603,0.7219241997691682,Persistence_Baseline,2,NA
Persistence_Baseline__fold2__seedNA,4,60 min,0.34951550387596897,0.46109155962410453,7.278103011696787,0.6979812055653374,Persistence_Baseline,2,NA
Persistence_Baseline__fold2__seedNA,overall,overall,0.3261216085271318,0.4290324261339912,6.790602014809792,0.7360139005599049,Persistence_Baseline,2,NA
Raw_LSTM__fold2__seed42,1,15 min,0.26312563573667247,0.33485768712378217,5.362106235092376,0.8379866229171273,Raw_LSTM,2,42
Raw_LSTM__fold2__seed42,2,30 min,0.25097896444705103,0.3253262416094141,5.170216168395444,0.8473910655252059,Raw_LSTM,2,42
Raw_LSTM__fold2__seed42,3,45 min,0.23811073352200116,0.3147824490445808,4.974349556871883,0.8583305925899483,Raw_LSTM,2,42
Raw_LSTM__fold2__seed42,4,60 min,0.25437339576639867,0.32851280704618946,5.257906822925862,0.8466922057765139,Raw_LSTM,2,42
Raw_LSTM__fold2__seed42,overall,overall,0.25164718236803085,0.32595072047990115,5.19114469582139,0.8476281588643588,Raw_LSTM,2,42
Raw_GRU__fold2__seed42,1,15 min,0.2662289216074833,0.3403492851514683,5.473049900911895,0.8326290759510452,Raw_GRU,2,42
Raw_GRU__fold2__seed42,2,30 min,0.23703962595887887,0.3124700907202385,4.927217079186669,0.8592142576448807,Raw_GRU,2,42
Raw_GRU__fold2__seed42,3,45 min,0.25599773460580394,0.3323217720072101,5.3290018973540745,0.8421034476490901,Raw_GRU,2,42
